date,region,output_gap,inflation,unemployment,gdp_growth,house_price_index,house_price_growth,fed_funds_rate
2000-03-31,CA,0.0,2.0,5.908114533596708,2.7211944894791573,103.0,3.0,4.0
2000-06-30,CA,-0.11061144093694773,2.619634349324987,5.996893463277177,2.0558480959458434,105.57901493601796,2.503897996133935,3.784251756639204
2000-09-30,CA,0.4407228218246906,3.028699377948823,6.065512128372621,2.4352215829299313,109.36675950283863,3.587592258855694,3.6028834685995186
2000-12-31,CA,1.5269298604037038,2.9472248446927636,6.115982246738766,3.6080163344416536,113.1803160415054,3.486942976094853,3.8047049754965885
2001-03-31,CA,0.8815282025039237,2.458279493372066,5.98720716840097,0.7431548214197816,116.45598581310246,2.89420447491578,3.743538452277005
2001-06-30,CA,0.4297601761934021,2.2781567027216005,5.988772022490772,0.8850346137343401,121.23980233336329,4.107832231087086,3.9515253601641724
2001-09-30,CA,1.5642023757412946,2.1454838267003,5.803788961471858,0.7096179576053214,126.41688792355,4.270120447698922,4.179307901832165
2001-12-31,CA,1.7088894463412332,3.2032355867457314,5.759780497496811,4.10786047723374,132.49831411220651,4.8106121646771065,3.7304904249043505
2002-03-31,CA,0.8206431036909014,3.634022770387925,5.791054270297191,1.7341093158878595,138.09499926285946,4.223967065658947,3.6865740637591333
2002-06-30,CA,1.0084982074524027,2.757775665567155,5.541946560185146,1.863598333581516,141.94539557939564,2.788222844483337,3.850129593309188
2002-09-30,CA,0.335214590966712,2.3099428742190433,5.586538945592144,2.898796061627932,146.75687864034305,3.3896718109860506,3.4883073759035694
2002-12-31,CA,-0.13793358917950713,2.671502617550117,5.826535369412895,3.4780036563776324,152.2402282496941,3.736349301070291,3.210307510362828
2003-03-31,CA,0.09701630482717231,2.3640853242144853,6.157211720932054,3.696320513231705,159.22597495531556,4.588633888648614,3.458188188742241
2003-06-30,CA,-1.4627127823472177,1.929531040620435,7.488732747390477,1.9693407658167819,162.14178627524612,1.8312409898880155,2.9436262873069357
2003-09-30,CA,-2.4038332136534786,2.720523795779189,7.522666755227719,1.0622187317812295,165.1945212034977,1.8827564432214672,2.7409040973366054
2003-12-31,CA,-2.132513272950213,2.6658832809267854,7.26820110624611,2.0128707173686387,171.79305234425928,3.9944007178259113,2.630852405093132
2004-03-31,CA,-2.303024187332688,1.6982938254426823,6.9083732990931805,0.34777366462373016,176.94703325954535,3.0001102168892855,3.2875682267432413
2004-06-30,CA,-1.3607190650566625,3.065576923494678,6.690372978730051,0.9306676781028247,183.1933512368823,3.5300495647049814,3.759446110515418
2004-09-30,CA,-1.6789226059566325,2.8348054662940423,6.856756030824985,1.5543492624587243,188.1936090449807,2.729497426810375,3.188392684260376
2004-12-31,CA,-2.305088785237876,2.6088560962877487,7.5259035629486535,3.7121125247035467,190.76515757313342,1.36643775588474,2.0712564464359793
